ID,Type,TS,HD,Zeta,Charge,Shape,TM,CT,TSz,TW,Dose,BW,DE24,DE168,Demax,KTRESrelease,KTRESmax,KTRES50,KTRESn,QTC,VTC,BVT,PT,PATC
1,Inorganic,Active,NA,18,0,Rod,Xenograft Heterotopic,cervix,0.1,0.12,20,20,1.69,2.06,2.36,0.001,0.055,0.5,0.5,0.01,0.006,0.02,0.265,0.01
2,Inorganic,Passive,NA,0,2,Rod,Allograft Heterotopic,colon,NA,0.1423,12.05,20,0.99,0.79,2.39,0.055,0.4,12,5,0.01,0.0071,0.02,0.1,0.1
3,Inorganic,Active,42,5,0,Spherical,Xenograft Heterotopic,brain,NA,0.9167,1,20,3.27,2.83,4.18,0.007,0.045,2,5,0.01,0.0458,0.02,0.07,0.07
4,Inorganic,Passive,38.3,5,0,Spherical,Xenograft Heterotopic,brain,NA,0.9167,1,20,6.64,2.99,7.44,1.00E-04,0.006,2,5,0.01,0.0458,0.02,0.2,0.1
5,Inorganic,Active,68.4,9.3,0,Other,Xenograft Heterotopic,breast,0.175,0.21,4.8,20,0.42,1.67,1.77,0.001,24,108,5,0.01,0.011,0.02,0.055,0.005
6,Inorganic,Passive,166,6,0,Spherical,Xenograft Orthotopic,skin,1.1,1.32,27.06,21,5.63,4.25,6.41,0.001,0.2,72,3,0.01,0.063,0.02,0.132,0.017
7,Inorganic,Active,175.6,5,0,Spherical,Xenograft Orthotopic,skin,1.1,1.32,27.06,21,9.61,2.98,11.15,1.05,5,3,2,0.01,0.063,0.02,0.05,0.1
8,Inorganic,Passive,104.2,10,0,Spherical,Xenograft Orthotopic,skin,1.1,1.32,16.24,21,11.98,4.53,14.77,0.14,1.3,0.6,1.5,0.01,0.063,0.02,0.041,0.09
9,Inorganic,Passive,64.2,15,0,Spherical,Xenograft Orthotopic,skin,1.1,1.32,8.12,21,14.71,5.47,17.52,0.14,1.4,0.1,2,0.01,0.063,0.02,0.046,0.09
10,Inorganic,Passive,46.3,6.7,0,Spherical,Xenograft Orthotopic,skin,1.1,1.32,4.06,21,18.11,7.79,23.4,0.115,1.75,0.8,1.5,0.01,0.063,0.02,0.048,0.09
11,Inorganic,Active,49.5,0.64,0,Spherical,Xenograft Orthotopic,skin,1.1,1.32,4.06,21,22.86,11,29.88,0.105,2.5,6,0.25,0.01,0.063,0.02,0.076,0.09
12,Inorganic,Active,60,11,0,Spherical,Xenograft Orthotopic,skin,1.1,1.32,8.12,21,26.63,9.94,30.24,0.19,2.3,0.2,0.1,0.01,0.063,0.02,0.12,0.2
13,Inorganic,Active,100.4,9,0,Spherical,Xenograft Orthotopic,skin,1.1,1.32,16.24,21,26.87,8.77,29.78,1.2,5,0.8,1.5,0.01,0.063,0.02,0.048,0.09
14,Inorganic,Passive,6.07,NA,NA,Spherical,Xenograft Heterotopic,brain,0.075,0.09,1.32,20,1.13,0.37,1.34,0.3,0.85,5.5,1,0.01,0.0045,0.02,0.145,0.015
15,Inorganic,Passive,NA,NA,NA,Spherical,Xenograft Heterotopic,prostate,0.3,0.36,7.2,20,0.11,0.03,0.14,3,0.05,0.5,0.1,0.02,0.018,0.02,0.0085,0.0025
16,Inorganic,Passive,31,10.5,0,Spherical,Xenograft Heterotopic,cervix,0.1,0.12,5.905,17,0.7,0.32,0.86,0.047,0.18,0.05,0.1,0.01,0.007,0.02,0.07,0.01
17,Inorganic,Passive,17.1,9.8,0,Spherical,Xenograft Heterotopic,cervix,0.1,0.12,5.905,17,1.02,0.76,1.55,0.023,0.185,0.05,0.2,0.01,0.007,0.02,0.086,0.01
18,Inorganic,Passive,18.2,25.4,,Other,Xenograft Heterotopic,brain,0.175,0.21,2,20,0.4,0.15,0.43,0.05,0.12,72,0.1,0.01,0.0105,0.02,0.0355,0.03
19,Inorganic,Passive,20.8,24.6,2,Other,Xenograft Heterotopic,brain,0.175,0.21,2,20,0.54,0.22,0.61,0.041,0.2,72,0.1,0.01,0.0105,0.02,0.041,0.03
20,Inorganic,Passive,25.8,21.7,1,Other,Xenograft Heterotopic,brain,0.175,0.21,2,20,0.57,0.26,0.69,0.048,0.15,72,0.1,0.01,0.0105,0.02,0.045,0.03
